user,course,period,messages,acad_year,.modules
id149,A,Y2P15,1,NA,0
id151,A,Y2P02,2,2020-2021,2
id151,A,Y2P03,1,2020-2021,2
id151,A,Y2P04,2,2020-2021,2
id151,A,Y2P07,2,NA,0
id151,A,Y2P12,6,NA,0
id151,A,Y2P14,1,2020-2021,1
id152,A,Y2P02,2,2020-2021,2
id153,A,Y2P02,3,2020-2021,2
id153,A,Y2P03,2,2020-2021,2
id153,A,Y2P04,34,2020-2021,2
id153,A,Y2P05,14,2020-2021,2
id153,A,Y2P07,33,NA,0
id153,A,Y2P10,17,2020-2021,3
id153,A,Y2P11,40,2020-2021,2
id153,A,Y2P12,36,NA,0
id153,A,Y2P14,42,2020-2021,1
id153,A,Y2P15,47,NA,0
id154,A,Y2P03,2,2020-2021,2
id154,A,Y2P04,6,2020-2021,2
id154,A,Y2P05,14,2020-2021,2
id154,A,Y2P07,7,NA,0
id154,A,Y2P08,9,NA,0
id154,A,Y2P09,2,2020-2021,2
id154,A,Y2P10,1,2020-2021,3
id154,A,Y2P11,2,2020-2021,2
id154,A,Y2P14,2,2020-2021,1
id154,A,Y2P15,2,NA,0
id155,A,Y2P03,10,2020-2021,2
id155,A,Y2P04,38,2020-2021,2
id155,A,Y2P05,38,2020-2021,2
id155,A,Y2P06,19,2020-2021,2
id155,A,Y2P09,14,2020-2021,2
id155,A,Y2P10,56,2020-2021,3
id155,A,Y2P11,19,2020-2021,2
id155,A,Y2P12,16,NA,0
id155,A,Y2P13,6,2020-2021,2
id155,A,Y2P14,27,2020-2021,1
id158,A,Y2P04,2,2020-2021,2
id158,A,Y2P06,10,2020-2021,2
id158,A,Y2P07,4,NA,0
id159,A,Y2P03,1,2020-2021,2
id159,A,Y2P04,6,2020-2021,2
id159,A,Y2P05,2,2020-2021,2
id159,A,Y2P07,16,NA,0
id159,A,Y2P08,24,NA,0
id159,A,Y2P11,2,2020-2021,2
id159,A,Y2P13,5,2020-2021,2
id159,A,Y2P15,18,NA,0
id16,B,Y2P05,2,2020-2021,2
id160,A,Y2P03,4,2020-2021,2
id160,A,Y2P10,2,2020-2021,3
id161,A,Y2P08,2,NA,0
id164,A,Y2P03,3,2020-2021,2
id164,A,Y2P04,4,2020-2021,2
id164,A,Y2P05,3,2020-2021,2
id165,A,Y2P04,3,2020-2021,2
id165,A,Y2P05,5,2020-2021,2
id165,A,Y2P06,4,2020-2021,2
id165,A,Y2P07,5,NA,0
id165,A,Y2P08,8,NA,0
id165,A,Y2P11,3,2020-2021,2
id165,A,Y2P13,16,2020-2021,2
id165,A,Y2P14,3,2020-2021,1
id165,A,Y2P15,2,NA,0
id166,A,Y2P04,1,2020-2021,2
id166,A,Y2P05,7,2020-2021,2
id166,A,Y2P06,3,2020-2021,2
id166,A,Y2P07,9,NA,0
id166,A,Y2P11,3,2020-2021,2
id166,A,Y2P14,2,2020-2021,1
id167,A,Y2P04,1,2020-2021,2
id167,A,Y2P08,2,NA,0
id167,A,Y2P10,5,2020-2021,3
id167,A,Y2P11,39,2020-2021,2
id167,A,Y2P15,11,NA,0
id177,A,Y1P12,3,2019-2020,1
id179,A,Y1P13,3,2019-2020,1
id182,B,Y1P13,3,2019-2020,1
id183,A,Y2P01,2,NA,0
id183,B,Y1P13,30,2019-2020,1
id183,B,Y1P14,6,NA,0
id186,A,Y1P13,1,2019-2020,1
id186,B,Y1P13,13,2019-2020,1
id187,B,Y1P11,1,2019-2020,2
id187,B,Y1P13,14,2019-2020,1
id187,B,Y1P14,1,NA,0
id189,B,Y1P13,9,2019-2020,1
id193,B,Y1P13,13,2019-2020,1
id194,B,Y1P13,37,2019-2020,1
id196,B,Y1P16,2,NA,0
id26,A,Y1P12,52,2019-2020,1
id26,A,Y1P13,12,2019-2020,1
id26,A,Y1P14,18,NA,0
id26,A,Y1P15,2,NA,0
id26,B,Y2P01,3,NA,0
id26,B,Y2P02,9,2020-2021,2
id26,B,Y2P04,14,2020-2021,2
id26,B,Y2P06,13,2020-2021,2
id26,B,Y2P09,6,2020-2021,2
id26,B,Y2P11,3,2020-2021,2
id26,B,Y2P14,9,2020-2021,1
id27,A,Y1P12,16,2019-2020,1
id27,B,Y2P01,1,NA,0
id27,B,Y2P02,1,2020-2021,2
id27,B,Y2P03,2,2020-2021,2
id27,B,Y2P06,12,2020-2021,2
id27,B,Y2P07,1,NA,0
